Streetname,Street Range (FROM - TO),Postcode,Area
1ης Απριλίου Λεωφόρος,,6035,Λάρνακα
1ης Απριλίου Λεωφόρος,,7104,Αραδίππου
9ης Ιουλίου,,6018,Λάρνακα
9ης Ιουλίου,,7104,Αραδίππου
15ης Ιανουαρίου,,6018,Λάρνακα
25ης Μαρτίου,,6052,Λάρνακα
25ης Μαρτίου Λεωφόρος,,7104,Αραδίππου
28ης Οκτωβρίου,,6025,Λάρνακα
28ης Οκτωβρίου Λεωφόρος,,7104,Αραδίππου
Α,,,
Αβραάμ Αντωνίου,,6041,Λάρνακα
Αγάθωνος,,6056,Λάρνακα
Αγαμέμνονος,,6035,Λάρνακα
Αγαμέμνονος,,7102,Αραδίππου
Αγαπήνορος,,6031,Λάρνακα
Αγγαστίνας,,7100,Αραδίππου
Άγγελου Βλάχου,,6052,Λάρνακα
Άγγελου Σικελιανού,,6016,Λάρνακα
Άγγελου Τερζάκη,,6037,Λάρνακα
Αγγέλων,,6057,Λάρνακα
Αγησιλάου,,6045,Λάρνακα
Αγησιλάου,,7101,Αραδίππου
Αγίας Αικατερίνης,,6037,Λάρνακα
Αγίας Αικατερίνης,,7104,Αραδίππου
Αγίας Αναστασίας,,7101,Αραδίππου
Αγίας Άννης,,7101,Αραδίππου
Αγίας Βαρβάρας,,6059,Λάρνακα
Αγίας Βερονίκης,,7101,Αραδίππου
Αγίας Γραφής,,7102,Αραδίππου
Αγίας Ειρήνης,,7100,Αραδίππου
Αγίας Ελένης,,6021,Λάρνακα
Αγίας Ελένης,,7104,Αραδίππου
Αγίας Ζωής,,7101,Αραδίππου
Αγίας Ζώνης,,7101,Αραδίππου
Αγίας Θέκλης,,6053,Λάρνακα
Αγίας Θεογνωσίας,,7101,Αραδίππου
Αγίας Λαύρας,,6030,Λάρνακα
Αγίας Λαύρας,,7104,Αραδίππου
Αγίας Μαρίνας,,7101,Αραδίππου
Αγίας Μαύρης,,7104,Αραδίππου
Αγίας Παρασκευής,,7101,Αραδίππου
Αγίας Πύλης,,7103,Αραδίππου
Αγίας Σοφίας,,6052,Λάρνακα
Αγίας Σοφίας Λεωφόρος,,7104,Αραδίππου
Αγίας Τριάδος,,6037,Λάρνακα
Αγίας Τριάδος,,7100,Αραδίππου
Αγίας Φωτεινής,,6053,Λάρνακα
Αγίας Φωτεινής,,7101,Αραδίππου
Αγίας Χριστίνης,,7101,Αραδίππου
Αγίου Αθανασίου,,7102,Αραδίππου
Αγίου Αμβροσίου,,7100,Αραδίππου
Αγίου Αντωνίου,,6040,Λάρνακα
Αγίου Αντωνίου,,7102,Αραδίππου
Αγίου Αρτεμίου,,7102,Αραδίππου
Αγίου Αυξεντίου,,7101,Αραδίππου
Αγίου Βασιλείου,,6040,Λάρνακα
Αγίου Βασιλείου,,7100,Αραδίππου
Αγίου Γεωργίου,,7104,Αραδίππου
Αγίου Γεωργίου Κοντού,"35 - 79, 44 - 84",6045,Λάρνακα
Αγίου Γεωργίου Κοντού,81 - τ.  86 - τ.,6046,Λάρνακα
Αγίου Γεωργίου Μακρή,"1 - 71, 2 - 60",6036,Λάρνακα
Αγίου Γεωργίου Μακρή,62 - τ. 73 - τ.,6037,Λάρνακα
Αγίου Γεωργίου Πτωχού,,7101,Αραδίππου
Αγίου Γρηγορίου,,6040,Λάρνακα
Αγίου Γρηγορίου,,7101,Αραδίππου
Αγίου Δαμιανού,,7101,Αραδίππου
Αγίου Δημητρίου,,6013,Λάρνακα
