Streetname,Street Range (FROM - TO),Postcode,Area
1ης Απριλίου,"1 - 39, 2 - 18",3116,Λεμεσός
1ης Απριλίου,20 - τ. 41 - τ.,3117,Λεμεσός
1ης Απριλίου,,4003,Μέσα Γειτονιά
1ης Απριλίου,,4193,Ύψωνας
1ης Οκτωβρίου,,4004,Μέσα Γειτονιά
1ης Οκτωβρίου,,4100,'Αγιος Αθανάσιος
9ης Ιουλίου,,4001,Μέσα Γειτονιά
16ης Ιουνίου 1943,,3022,Λεμεσός
25ης Μαρτίου,,3095,Λεμεσός
25ης Μαρτίου,,4005,Μέσα Γειτονιά
25ης Μαρτίου,"1 - 41, 2 - 46",4192,Ύψωνας
25ης Μαρτίου,43 - τ. 48 - τ.,4193,Ύψωνας
28ης Οκτωβρίου,1 - 301,3035,Λεμεσός
28ης Οκτωβρίου,303 - 321,3105,Λεμεσός
28ης Οκτωβρίου,323 - 351,3106,Λεμεσός
28ης Οκτωβρίου,353 - τ.,3107,Λεμεσός
28ης Οκτωβρίου,,4001,Μέσα Γειτονιά
28ης Οκτωβρίου,,4191,Ύψωνας
Α,,,
Αβάνας,,3011,Λεμεσός
Αβδήρων,,3112,Λεμεσός
Αβεσσαλώμ,,4046,Γερμασόγεια
Αβικέννα,,3116,Λεμεσός
Αβλίχου,,3112,Λεμεσός
Αβραάμ,,4104,'Αγιος Αθανάσιος
Αβραάμ Αντωνίου,,4004,Μέσα Γειτονιά
Αβραάμ Αντωνίου,,4106,'Αγιος Αθανάσιος
Αβραάμ Λίνκολν,,3061,Λεμεσός
Αβραάμ Λίνκολν,,4002,Μέσα Γειτονιά
Αβροσύνης,,3045,Λεμεσός
Αγαθάρχου,,3111,Λεμεσός
Αγαθοδώρου Χατζηκυριάκου,,4188,Ύψωνας
Αγάθωνος,,3087,Λεμεσός
Αγάθωνος,,4044,Γερμασόγεια
Αγάθωνος,,4189,Ύψωνας
Αγαλλιανού,,4170,Κάτω Πολεμίδια
Αγαλλιανού Πάροδος,,4159,Κάτω Πολεμίδια
Αγαμέμνονος,,3100,Λεμεσός
Αγαμέμνονος,,4044,Γερμασόγεια
Αγαμέμνονος,,4190,Ύψωνας
Αγανίππης,,3112,Λεμεσός
Αγαπήνορος,,3020,Λεμεσός
Αγαπήνορος,,4191,Ύψωνας
Αγάπης,,4007,Μέσα Γειτονιά
Αγαρίστης,,3045,Λεμεσός
Αγαρίστης,,4154,Κάτω Πολεμίδια
