post_code,lat,lng
3116,34.7071301,33.0226174
3117,34.7071301,33.0226174
4003,34.7035972,33.0423203
4193,34.6882288,32.9550349
4004,34.7035972,33.0423203
4100,34.723194,33.0507632
4001,34.7035972,33.0423203
3022,34.7071301,33.0226174
3095,34.7071301,33.0226174
4005,34.7035972,33.0423203
4192,34.6882288,32.9550349
3035,34.7071301,33.0226174
3105,34.7071301,33.0226174
3106,34.7071301,33.0226174
3107,34.7071301,33.0226174
4191,34.6882288,32.9550349
3011,34.7071301,33.0226174
3112,34.7071301,33.0226174
4046,34.7227518,33.0845277
4104,34.723194,33.0507632
4106,34.723194,33.0507632
3061,34.7071301,33.0226174
4002,34.7035972,33.0423203
3045,34.7071301,33.0226174
3111,34.7071301,33.0226174
4188,34.6882288,32.9550349
3087,34.7071301,33.0226174
4044,34.7227518,33.0845277
4189,34.6882288,32.9550349
4170,34.6944699,32.9831998
4159,34.6944699,32.9831998
3100,34.7071301,33.0226174
4190,34.6882288,32.9550349
3020,34.7071301,33.0226174
4007,34.7035972,33.0423203
4154,34.6944699,32.9831998
3115,34.7071301,33.0226174
4108,34.723194,33.0507632
4105,34.723194,33.0507632
3083,34.7071301,33.0226174
4194,34.6882288,32.9550349
3085,34.7071301,33.0226174
4153,34.6944699,32.9831998
4049,34.7227518,33.0845277
3046,34.7071301,33.0226174
3026,34.7071301,33.0226174
4041,34.7227518,33.0845277
3096,34.7071301,33.0226174
4045,34.7227518,33.0845277
4183,34.6882288,32.9550349
4130,34.7091547,32.9916478
4156,34.6944699,32.9831998
4158,34.6944699,32.9831998
3065,34.7071301,33.0226174
4150,34.6944699,32.9831998
4102,34.723194,33.0507632
3067,34.7071301,33.0226174
4186,34.6882288,32.9550349
3027,34.7071301,33.0226174
3090,34.7071301,33.0226174
3042,34.7071301,33.0226174
3050,34.7071301,33.0226174
4006,34.7035972,33.0423203
4103,34.723194,33.0507632
4151,34.6944699,32.9831998
3091,34.7071301,33.0226174
3119,34.7071301,33.0226174
3066,34.7071301,33.0226174
4180,34.6882288,32.9550349
3040,34.7071301,33.0226174
3025,34.7071301,33.0226174
3082,34.7071301,33.0226174
4185,34.6882288,32.9550349
4107,34.723194,33.0507632
4043,34.7227518,33.0845277
3036,34.7071301,33.0226174
3012,34.7071301,33.0226174
4184,34.6882288,32.9550349
4182,34.6882288,32.9550349
3016,34.7071301,33.0226174
4152,34.6944699,32.9831998
4040,34.7227518,33.0845277
3052,34.7071301,33.0226174
4131,34.7091547,32.9916478
3118,34.7071301,33.0226174
4157,34.6944699,32.9831998
3056,34.7071301,33.0226174
3048,34.7071301,33.0226174
3032,34.7071301,33.0226174
3120,34.7071301,33.0226174
3051,34.7071301,33.0226174
3047,34.7071301,33.0226174
3110,34.7071301,33.0226174
4000,34.7035972,33.0423203
3041,34.7071301,33.0226174
3055,34.7071301,33.0226174
4187,34.6882288,32.9550349
4155,34.6944699,32.9831998
4181,34.6882288,32.9550349
3081,34.7071301,33.0226174
3071,34.7071301,33.0226174
3010,34.7071301,33.0226174
3021,34.7071301,33.0226174
3017,34.7071301,33.0226174
3076,34.7071301,33.0226174
4042,34.7227518,33.0845277
3013,34.7071301,33.0226174
3015,34.7071301,33.0226174
4008,34.7035972,33.0423203
4101,34.723194,33.0507632
3113,34.7071301,33.0226174
3060,34.7071301,33.0226174
3101,34.7071301,33.0226174
4048,34.7227518,33.0845277
3075,34.7071301,33.0226174
3080,34.7071301,33.0226174
3031,34.7071301,33.0226174
3077,34.7071301,33.0226174
3086,34.7071301,33.0226174
3070,34.7071301,33.0226174
3030,34.7071301,33.0226174
4047,34.7227518,33.0845277
3150,34.7071301,33.0226174
